Country,Date,ARIMA_Forecast,Hybrid_Forecast,Linear_Regression_Forecast,Actual
Austria,2024-01-01,2.4496205560151623,0.0,154.0636659123682,80.6
Austria,2024-02-01,-2.6276736875225266,0.0,156.79528926098533,65.41
Austria,2024-03-01,84.08046047617322,42.69569496820894,159.52691260960245,62.86
Austria,2024-04-01,22.804649673711324,0.800164065726344,162.2585359582196,58.87
Austria,2024-05-01,20.99048635539863,0.40288272325413743,164.99015930683674,64.17
Austria,2024-06-01,63.48633106788205,30.941051635823094,167.72178265545386,68.32
Austria,2024-07-01,165.28417573960348,102.96478357527859,170.45340600407098,63.66
Austria,2024-08-01,266.0816386623541,174.2069198984257,173.18502935268813,84.48
Austria,2024-09-01,209.48832006060962,135.2438614722363,175.91665270130528,82.4
Austria,2024-10-01,57.543749931521916,29.66898020719229,178.6482760499224,85.35
Austria,2024-11-01,87.44795432790107,51.32576399815868,181.37989939853952,130.84
Austria,2024-12-01,126.80269987140295,79.55970046448645,184.11152274715667,116.01
Austria,2025-01-01,24.054135280024653,8.38239600064372,,
Austria,2025-02-01,28.696731238296188,12.451028402757036,,
Austria,2025-03-01,35.124911013239114,17.464218696053265,,
Austria,2025-04-01,17.16701574016306,5.741503703813603,,
Austria,2025-05-01,3.493819441001264,0.0,,
Austria,2025-06-01,28.02626322912453,14.544506448955286,,
Austria,2025-07-01,53.54075940647576,32.90611432531672,,
Austria,2025-08-01,91.42859305473785,60.12620246284041,,
Austria,2025-09-01,85.0102525447713,56.23931160037067,,
Austria,2025-10-01,43.8427134259062,28.135234071062193,,
Austria,2025-11-01,50.912984357973116,33.97740966348859,,
Austria,2025-12-01,50.784093178913494,34.24408569566791,,
Austria,2026-01-01,-27.13715254910317,0.0,,
Austria,2026-02-01,-27.114166241246295,0.0,,
Austria,2026-03-01,39.224484304236896,27.38475999012914,,
Austria,2026-04-01,-7.7826029637766325,0.0,,
Austria,2026-05-01,-10.982175219673383,0.0,,
Austria,2026-06-01,28.289449852516732,20.613242297636802,,
Austria,2026-07-01,110.34018334293219,78.28445163946049,,
Austria,2026-08-01,195.0467708100957,137.8113688700455,,
Austria,2026-09-01,154.08055505444287,109.29487773679469,,
Austria,2026-10-01,34.720548705476574,25.877709489417708,,
Austria,2026-11-01,59.527938249993994,43.350626864336,,
Austria,2026-12-01,89.01871692045913,64.11163182688821,,
Austria,2027-01-01,-5.576375026138702,0.0,,
Austria,2027-02-01,-1.1382080832517927,1.1746610399506738,,
Austria,2027-03-01,23.173955296528,18.247491688068866,,
Austria,2027-04-01,-1.9938950626641407,0.6761015830424502,,
Austria,2027-05-01,-11.8165960292997,0.0,,
Austria,2027-06-01,17.710369269183847,14.542297570002178,,
Austria,2027-07-01,59.926937827619575,44.122550613092244,,
Austria,2027-08-01,111.73329906219277,80.41160374470375,,
Austria,2027-09-01,96.29347681386946,69.62484633493995,,
Austria,2027-10-01,33.78097114610024,25.88413207087063,,
Austria,2027-11-01,46.456723862360136,34.77252767228002,,
Austria,2027-12-01,55.238433758206845,40.9328822054976,,
Austria,2028-01-01,-26.833403442492145,0.0,,
Austria,2028-02-01,-25.060911591339575,0.0,,
Austria,2028-03-01,29.92868269680059,23.24529206393839,,
Austria,2028-04-01,-10.487467999474994,0.0,,
Austria,2028-05-01,-15.132130470437346,0.0,,
Austria,2028-06-01,21.790114393484963,17.5668723041382,,
Austria,2028-07-01,93.00096005406539,67.41905167842499,,
Austria,2028-08-01,168.79575416247306,120.47937793890813,,
Austria,2028-09-01,135.33547866888776,97.06061498307739,,
Austria,2028-10-01,32.273947223064745,24.9205043681723,,
Austria,2028-11-01,53.95265750620214,40.098154075676334,,
Austria,2028-12-01,77.883677252219,56.85206778611751,,
Austria,2029-01-01,-12.937368356862583,0.0,,
Austria,2029-02-01,-9.01434550504962,0.0,,
Austria,2029-03-01,24.14964764320837,19.24324884318104,,
Austria,2029-04-01,-5.101937259131482,0.0,,
Austria,2029-05-01,-13.273962334315769,0.0,,
Austria,2029-06-01,18.515491463280632,15.30262826311175,,
Austria,2029-07-01,69.06044963176208,50.68492486300677,,
Austria,2029-08-01,127.77614248063696,91.78662940449091,,
Austria,2029-09-01,107.41590565131268,77.5350889958969,,
Austria,2029-10-01,33.63492719628912,25.888956970065347,,
Austria,2029-11-01,48.975645024771595,36.6279417707886,,
Austria,2029-12-01,62.14349252626148,45.845852731182106,,
Austria,2030-01-01,-22.274088592315913,0.0,,
Austria,2030-02-01,-19.787746589263573,0.0,,
Austria,2030-03-01,29.162903892224506,22.76039507692837,,
Austria,2030-04-01,-8.016264233395493,0.0,,
Austria,2030-05-01,-13.56367782997461,0.0,,
Austria,2030-06-01,21.998529552655977,17.745963656372123,,
Austria,2030-07-01,87.47364503944158,63.578702091802825,,
Austria,2030-08-01,158.5369994891511,113.32318634360816,,
Austria,2030-09-01,128.8320267381579,92.5298243887839,,
Austria,2030-10-01,34.074108470999576,26.199385790692133,,
Austria,2030-11-01,54.030588356830876,40.169011356159785,,
Austria,2030-12-01,74.99049457971218,54.841023436633485,,
Austria,2031-01-01,-13.975138943118807,0.0,,
Austria,2031-02-01,-10.405980668503066,0.0,,
Austria,2031-03-01,27.24705579988354,21.420795104687762,,
Austria,2031-04-01,-4.190769120131952,0.0,,
Austria,2031-05-01,-11.58277306975603,0.0,,
Austria,2031-06-01,21.30716651343882,17.262990859791692,,
Austria,2031-07-01,76.08948752973272,55.61064465826407,,
Austria,2031-08-01,138.31364936017604,99.1675829735252,,
Austria,2031-09-01,115.35627876791587,83.09744644712667,,
